441300,惠州,huizhou
441400,梅州,meizhou
441500,汕尾,swabue
441600,河源,heyuan
441700,阳江,yangjiang
441800,清远,tsingyun
441900,东莞,tungkun
442000,中山,chungshan
445100,潮州,teochew
445200,揭阳,kityall
445300,云浮,wanfow
450100,南宁,nanning
450200,柳州,liuzhou
450300,桂林,guilin
450400,梧州,ngchow
450500,北海,beihai
450600,防城港,fangchenggang,
450700,钦州,qinzhou
450800,贵港,guigang
450900,玉林,yulin
451000,百色,baise
451100,贺州,hezhou
451200,河池,hechi
451300,来宾,laibin
451400,崇左,chongzuo
460100,海口,haikou
460200,三亚,sanya
500000,重庆,chungking
510100,成都,chengdu
510300,自贡,zigong
510400,攀枝花,panzhihua
510500,泸州,luzhou
510600,德阳,deyang
510700,绵阳,mianyang
510800,广元,guangyuan
510900,遂宁,suining
511000,内江,neijiang
511100,乐山,leshan
511300,南充,nanchong
511400,眉山,meishan
511500,宜宾,yibin
511600,广安,guangan
511700,达州,dazhou
511800,雅安,yaan
511900,巴中,bazhong
512000,资阳,ziyang
513200,阿坝,ngawa
513300,甘孜,garze
513400,凉山,liangshan
520100,贵阳,kweiyang
520200,六盘水,liupanshui
520300,遵义,zunyi
520400,安顺,anshun
520500,毕节,bijie
520600,铜仁,tongren
522300,黔西南,qianxinan
522600,黔东南,qiandongnan
522700,黔南,qiannan
530100,昆明,kunming
530300,曲靖,qujing
530400,玉溪,yuxi
530500,保山,baoshan
530600,昭通,zhaotong
530700,丽江,lijiang
530800,普洱,puer
530900,临沧,lincang
532300,楚雄,weichu
532500,红河,honghe
532600,文山,wenshan
532800,西双版纳,sipsongpanna
532900,大理,dali
533100,德宏,dehong
533300,怒江,salween
533400,迪庆,diqing
540100,拉萨,lhasa
540200,日喀则,shigatse
540300,昌都,qamdo
540400,林芝,nyingchi
540500,山南,lhoka
542400,那曲,naqu
542500,阿里,ali
610100,西安,changan
610200,铜川,tongchuan
610300,宝鸡,paoki
610400,咸阳,hsienyang
610500,渭南,weinan
